#,Song,Artist,Genres,Album,Album Date
3,Miss The Rage (feat. Playboi Carti),"Trippie Redd, Playboi Carti","melodic rap, rage rap",Miss The Rage (feat. Playboi Carti),2021-05-07
4,@ MEH,Playboi Carti,rage rap,@ MEH,2020-04-16
5,On That Time,Playboi Carti,rage rap,Whole Lotta Red,2020-12-25
6,New Tank,Playboi Carti,rage rap,Whole Lotta Red,2020-12-25
7,ILoveUIHateU,Playboi Carti,rage rap,Whole Lotta Red,2020-12-25
9,Monëy so big,Yeat,rage rap,Up 2 Më,2021-09-10
10,Sorry Bout That,Yeat,rage rap,4L,2021-06-10
11,Poppin,Yeat,rage rap,2 Alivë,2022-02-18
12,Tell Em,"Cochise, $NOT",rage rap,Tell Em,2021-05-28
13,POCKET ROCKET,Cochise,rage rap,POCKET ROCKET,2021-08-20
14,DO IT AGAIN,Cochise,rage rap,DO IT AGAIN,2022-03-04
16,Drip Too Hard (Lil Baby & Gunna),"Lil Baby, Gunna",melodic rap,Drip Harder,2018-10-05
17,BANKROLL (feat. A$AP Rocky & A$AP Ferg),"BROCKHAMPTON, A$AP Rocky, A$AP Ferg",rap,"ROADRUNNER: NEW LIGHT, NEW MACHINE",2021-04-09
18,R.I.P.,Playboi Carti,rage rap,Die Lit,2018-05-11
20,CIGARETTE,Lil Uzi Vert,melodic rap,RED & WHITE,2022-07-25
21,Vamp Anthem,Playboi Carti,rage rap,Whole Lotta Red,2020-12-25
